"V1" "V2" "V4" "V5" "V7" "V8" "V10" "V11" "V13" "V14" "V15" "V17" "V18" "V20" "V21" "V23"
"1" 9.395697999711e-06 -9.8145976516618e-06 -1.9233576055221e-05 -8.12751646773041e-06 -1.51246659613417e-05 -6.30109282572839e-06 7.00754571126178e-06 9.52455705478697e-08 5.04440080837434e-05 4.43242066599888e-05 3.77117631541755e-05 1.98156969091485e-05 2.58788733463912e-05 4.36505051513196e-05 3.55936864144731e-05 3.49078856836228e-06
"2" -2.03045111013744e-05 -4.77782315186773e-05 -5.709205324203e-05 6.29797461417777e-06 -6.23603996836076e-05 -3.54119277742205e-05 -3.10481316303647e-05 -7.3564998044553e-05 4.82070321807604e-06 2.81698061747397e-05 2.02487244405395e-05 1.67131232582082e-05 1.99516644708121e-05 2.20163800796331e-05 1.72595837618609e-05 5.97230923974318e-05
"3" -4.97543797330324e-05 -8.5348376506695e-05 -9.44589039321585e-05 2.08438248949438e-05 -0.000109119341110833 -6.42292942045868e-05 -6.87910545947434e-05 -0.000146458694679357 -4.05724345377981e-05 1.2063591562406e-05 2.86292422848044e-06 1.37240691501751e-05 1.41338360164487e-05 4.69978527833052e-07 -9.47841047004367e-07 0.000114800942187526
"4" -7.87408443429745e-05 -0.000122206187843519 -0.000130962716855554 3.56079157575345e-05 -0.000155052583859447 -9.25272337328478e-05 -0.000105966277670414 -0.000218170911143049 -8.55243938132702e-05 -3.95971293711609e-06 -1.43821405066411e-05 1.09623890735434e-05 8.54045892175237e-06 -2.09083807598718e-05 -1.89109911006294e-05 0.000168550557111452
"5" -0.00010704485689943 -0.0001580381649075 -0.000166252510452368 5.06962993904906e-05 -0.000199814689037605 -0.000120074662327746 -0.000142333969024916 -0.000288303751199129 -0.000129834956232108 -1.98635918259469e-05 -3.14134973454081e-05 8.54442263994832e-06 3.27525011442497e-06 -4.20500003678816e-05 -3.65169579540679e-05 0.000220815782551698
"6" -0.00013446615451185 -0.000192547491774045 -0.000199986026122221 6.6201959699063e-05 -0.000243073975319718 -0.000146658108409979 -0.000177654439562556 -0.000356478262189389 -0.000173305831874457 -3.56149938443998e-05 -4.81699675140559e-05 6.57410115244162e-06 -1.55574637278726e-06 -6.2879555296009e-05 -5.36518824811525e-05 0.000271459568747563
"7" -0.000160799491909794 -0.000225446752141829 -0.000231842329722963 8.22234691279412e-05 -0.000284518767287254 -0.000172066402176992 -0.00021170621466862 -0.000422334825133811 -0.000215743094864555 -5.11788346554072e-05 -6.45890541325904e-05 5.15643819399012e-06 -5.85159017286647e-06 -8.33266238276609e-05 -7.0209889188394e-05 0.000320363092058868
"8" -0.000185857805755544 -0.000256460881750136 -0.000261512877452158 9.88493366805954e-05 -0.000323844487126382 -0.000196099671419906 -0.000244270322592196 -0.00048552894119592 -0.000256967825213315 -6.65214345161302e-05 -8.06092219815128e-05 4.39102384353728e-06 -9.51437216776706e-06 -0.000103326069411202 -8.6090062290365e-05 0.000367423512553674
"9" -0.000209456410023294 -0.000285334229855232 -0.000288710310764454 0.000116165386163214 -0.0003607738608364 -0.000218574553585109 -0.000275146270385776 -0.000545747654523744 -0.00029679605306469 -8.16128020153302e-05 -9.6172772633504e-05 4.36484309173968e-06 -1.2454754359968e-05 -0.000122807713869199 -0.000101194594458358 0.000412555853960771
"10" -0.000231425511286212 -0.000311831439926835 -0.000313173725805207 0.000134246128750904 -0.000395046545324215 -0.000239317201067568 -0.000304144671932085 -0.000602698746105181 -0.000335067928313868 -9.64244821336558e-05 -0.000111222791213226 5.16535118185971e-06 -1.45896043893814e-05 -0.000141713249818836 -0.000115438148929251 0.00045569189498578
