num_arestas,peso_arestas,mods,dupla,clust,escola_publica,formacao_exatas,gen_aluno_f,gen_prof_f
64,15.72688243718871,0.18814214346309738,1,1,FALSE,FALSE,FALSE,TRUE
42,8.377153111097442,0.2132098337950139,2,1,FALSE,TRUE,FALSE,FALSE
6,1.156146105328165,0.32988443966675624,3,2,FALSE,TRUE,TRUE,FALSE
10,1.996145729793643,0.42229327781082693,4,2,FALSE,FALSE,TRUE,TRUE
40,8.292782699188267,0.2666344644366622,5,1,TRUE,TRUE,FALSE,FALSE
16,3.3619594445338286,0.4144044321329641,6,2,TRUE,FALSE,TRUE,TRUE
34,7.131281418628309,0.27817413132514207,7,1,TRUE,FALSE,TRUE,FALSE
80,19.524138583566394,0.13927440954467984,8,1,TRUE,TRUE,TRUE,FALSE
74,16.30432461229322,0.19163194444444442,9,1,TRUE,FALSE,FALSE,FALSE
16,3.246964324866916,0.3764172335600907,10,2,TRUE,FALSE,FALSE,FALSE
38,7.6295887235738284,0.27783933518005544,11,1,TRUE,FALSE,FALSE,FALSE
34,6.495560470345576,0.27553670360110794,12,1,TRUE,FALSE,FALSE,TRUE
60,13.379101016919908,0.20987426035502957,14,1,FALSE,FALSE,FALSE,FALSE
34,6.458467995987806,0.3043334654511824,15,1,TRUE,TRUE,FALSE,TRUE
24,4.576251452322961,0.34089414858645634,16,1,FALSE,FALSE,FALSE,TRUE
44,9.237670278738381,0.2576983456104335,17,1,TRUE,TRUE,FALSE,TRUE
28,5.049071680040746,0.26684180896978804,18,1,FALSE,FALSE,TRUE,FALSE
42,8.447383642868452,0.22840760632893023,19,1,TRUE,TRUE,TRUE,FALSE
72,15.845554532587746,0.15826709756310609,20,1,FALSE,TRUE,TRUE,FALSE
50,9.752321340124109,0.19147828673408682,21,1,FALSE,TRUE,FALSE,FALSE
34,6.604355110270586,0.34975425330812854,22,1,TRUE,FALSE,TRUE,FALSE
34,7.1235309473927195,0.27888345420812954,23,1,TRUE,FALSE,FALSE,TRUE
54,11.371694095417524,0.18597890751757706,24,1,FALSE,FALSE,TRUE,TRUE
48,9.5823864466381,0.2206598161168199,25,1,FALSE,FALSE,TRUE,FALSE
