"V1" "V2" "V4" "V5" "V7" "V8" "V10" "V11" "V13" "V14" "V15" "V17" "V18" "V20" "V21" "V23"
"1" -1.72807006793848e-06 -5.49607494108287e-06 -7.09067966786194e-07 -3.96503159968263e-06 -2.21446232005263e-06 -3.50089489955592e-06 -6.01490931843756e-06 -8.42437711744118e-07 -4.21206349560217e-05 3.83970713352058e-06 -4.96043911971393e-07 9.52014130869598e-07 -2.30737610543391e-06 -6.8713110201095e-06 -4.327722336675e-06 -7.42121197651248e-06
"2" 1.54480193075316e-06 -1.44536088588042e-05 -5.87115441504367e-06 -5.56343674158885e-06 -1.57631515565823e-05 -4.39212783493178e-06 -1.97253762750713e-05 -1.01640829066876e-05 0.000158067686338321 -1.37424408996973e-05 -4.97754235684919e-06 -1.99588199527813e-05 -8.57059025325236e-06 -1.57784022541507e-05 -1.78473443046236e-05 -1.68822671246292e-05
"3" 4.80206259755479e-06 -2.33740612387883e-05 -1.09968771800696e-05 -7.12494938188276e-06 -2.92514173436922e-05 -5.24493904569149e-06 -3.34011899281866e-05 -1.94243302970947e-05 0.000359898682284915 -3.12018664103941e-05 -9.38823167819712e-06 -4.07128672855825e-05 -1.4775702313309e-05 -2.45738370529292e-05 -3.11891110762185e-05 -2.6224195178401e-05
"4" 8.03896503004339e-06 -3.22007049874789e-05 -1.60470567665547e-05 -8.60989648221278e-06 -4.26230808841442e-05 -6.02138631816021e-06 -4.70045143438998e-05 -2.85679315684269e-05 0.000562381677845749 -4.84650077063929e-05 -1.36906767417686e-05 -6.11851308316091e-05 -2.08935163879753e-05 -3.32005896895845e-05 -4.42552457276691e-05 -3.53668816924922e-05
"5" 1.12587424946259e-05 -4.0881922549586e-05 -2.09767670566149e-05 -9.98485179101389e-06 -5.58342510779117e-05 -6.69253878167028e-06 -6.05031270609488e-05 -3.75441239042054e-05 0.000764500458027018 -6.54565840366301e-05 -1.78478785507071e-05 -8.12559744339526e-05 -2.6900582444498e-05 -4.16071992315409e-05 -5.69456051260887e-05 -4.42358739906014e-05
"6" 1.44591365592458e-05 -4.93707827793539e-05 -2.57447074855129e-05 -1.12186878503795e-05 -6.88372326906333e-05 -7.22545064369127e-06 -7.38634588012599e-05 -4.63094993789072e-05 0.000965186206928452 -8.21131140445997e-05 -2.18187979615545e-05 -0.000100812423857248 -3.27668689666903e-05 -4.97397894824469e-05 -6.91624276823149e-05 -5.27567866548985e-05
"7" 1.76341114123069e-05 -5.7616329470884e-05 -3.03147140548138e-05 -1.22783038815039e-05 -8.15845996919457e-05 -7.58660630090863e-06 -8.70570125336726e-05 -5.48164454582598e-05 0.00116336164923007 -9.83699333801209e-05 -2.5579436150975e-05 -0.000119740989633199 -3.84771881771753e-05 -5.7553160405745e-05 -8.0820125515826e-05 -6.08591596710967e-05
"8" 2.07837827993311e-05 -6.55702961594656e-05 -3.46451771840051e-05 -1.31299068491719e-05 -9.4031626419607e-05 -7.75369065801717e-06 -0.000100043107009844 -6.30186680925531e-05 0.00135795465256627 -0.000114161987363015 -2.90952212824411e-05 -0.000137939231935991 -4.40049478619409e-05 -6.50027638702364e-05 -9.18364852753307e-05 -6.84816604540464e-05
"9" 2.39032347153367e-05 -7.31962452024392e-05 -3.87097914483273e-05 -1.37524544922662e-05 -0.000106147836902322 -7.69684227471938e-06 -0.000112805547958608 -7.08790175165998e-05 0.00154789596147911 -0.000129435665763562 -3.23429998702949e-05 -0.000155318335039446 -4.93387951059424e-05 -7.20404486575477e-05 -0.000102123536194737 -7.55608400707307e-05
"10" 2.69896664333932e-05 -8.04503447972689e-05 -4.24749767909335e-05 -1.41208081984555e-05 -0.000117891256626987 -7.39586154435338e-06 -0.000125311375400575 -7.8364734388448e-05 0.00173216582004935 -0.000144138470495464 -3.52948231235815e-05 -0.000171787792837136 -5.44582803608138e-05 -7.86262551182178e-05 -0.000111619502363543 -8.2043534786974e-05
"11" 3.00373693903281e-05 -8.7298795871921e-05 -4.59167451006972e-05 -1.4211354765349e-05 -0.000129228930199671 -6.83682562817185e-06 -0.000137539823406766 -8.54417729732455e-05 0.00190980280984199 -0.000158224503152778 -3.7932654891723e-05 -0.000187274219369486 -5.93560793502285e-05 -8.47320757177614e-05 -0.000120257077177158 -8.78823346570567e-05
"12" 3.304206297499e-05 -9.37151719665538e-05 -4.90124195673323e-05 -1.40115945341171e-05 -0.00014013802060954 -5.99829830552488e-06 -0.000149464977412 -9.20826312254919e-05 0.00207991310320759 -0.000171650171565461 -4.02396139943083e-05 -0.000201708861854971 -6.40165027487204e-05 -9.03156287766271e-05 -0.000127978827879245 -9.30338436757537e-05
"13" 3.59921800590743e-05 -9.96677628985742e-05 -5.17441633485847e-05 -1.35042474863005e-05 -0.00015059094594536 -4.87582279005957e-06 -0.000161070892524076 -9.82654481487798e-05 0.00224172161321125 -0.00018438209246643 -4.22068963587516e-05 -0.000215040674162281 -6.84379602928375e-05 -9.53546670249113e-05 -0.000134735246111514 -9.74645769687778e-05
"14" 3.88826638679409e-05 -0.000105141582418076 -5.41040861394685e-05 -1.26826384488474e-05 -0.000160573203846232 -3.45547102939845e-06 -0.000172342894038426 -0.00010397628261332 0.00239455589902289 -0.000196391339503036 -4.38247634260879e-05 -0.000227226338288069 -7.26167318476062e-05 -9.98219847511619e-05 -0.000140487174815516 -0.000101144956640404
"15" 4.17041367461983e-05 -0.00011012057887547 -5.6081870575421e-05 -1.15397850498678e-05 -0.000170066814158546 -1.73983493855782e-06 -0.000183263747571848 -0.000109201591333978 0.00253787785584211 -0.00020765401132064 -4.50895153484412e-05 -0.000238233306900449 -7.65526288778749e-05 -0.000103697682569568 -0.000145204570268564 -0.000104055306806809
"16" 4.44447168429541e-05 -0.000114591247223042 -5.76726647882259e-05 -1.00765818562953e-05 -0.000179063816129617 2.70602038261129e-07 -0.000193827122340843 -0.00011393400899923 0.00267129351905746 -0.000218153515440568 -4.60027093726666e-05 -0.000248047836936933 -8.02476405960296e-05 -0.000106963309587817 -0.00014886271159587 -0.00010618266941609
"17" 4.70950860000018e-05 -0.000118552451479659 -5.88767676397692e-05 -8.29483083989947e-06 -0.000187557944065659 2.57105587923054e-06 -0.000204021942358735 -0.000118174507957943 0.00279455222402908 -0.000227880587161097 -4.65697306453801e-05 -0.000256658379996574 -8.37100021994714e-05 -0.000109612873586653 -0.000151450733670474 -0.00010752088761907
"18" 4.96409400539042e-05 -0.000122009441749977 -5.97096814703566e-05 -6.20570093628661e-06 -0.00019555632092917 5.14909471593022e-06 -0.000213847447314582 -0.000121924961748304 0.00290753635208114 -0.000236830682184532 -4.68026237302129e-05 -0.000264074307890818 -8.69505186306117e-05 -0.000111631392725442 -0.000152961338510493 -0.000108071933650728
"19" 5.20707252690386e-05 -0.000124963888776375 -6.01785354809729e-05 -3.81632950012797e-06 -0.000203053621294599 7.99381535516679e-06 -0.000223301499786016 -0.000125199457344544 0.00301026484891268 -0.000245004116928693 -4.67115595373915e-05 -0.000270310458075632 -8.99783071577329e-05 -0.000113013217944871 -0.000153394306660061 -0.000107842938162403
"20" 5.43717496259974e-05 -0.00012743729122617 -6.02982257761805e-05 -1.14452589802135e-06 -0.000210070211283656 1.10855559136616e-05 -0.000232385024713971 -0.000128011172253567 0.00310287077141494 -0.00025241382360375 -4.63189870407858e-05 -0.000275404898063618 -9.28103361047156e-05 -0.000113761515555943 -0.000152767893525084 -0.000106851523233973
"21" 5.65266930439456e-05 -0.000129439025618062 -6.0091447414402e-05 1.7907977021741e-06 -0.000216613818998061 1.44012349322679e-05 -0.000241099692076983 -0.00013038225254603 0.00318559726094302 -0.000259071230601647 -4.56484985957602e-05 -0.000279385992853302 -9.54689554351274e-05 -0.000113881678435797 -0.000151104814073704 -0.000105122512155656
"22" 5.85204682747567e-05 -0.000131002646019382 -5.95842623480719e-05 4.96450965408702e-06 -0.000222700232721335 1.79178285809852e-05 -0.00024945778672283 -0.000132334258320683 0.00325873698269566 -0.000264995827007134 -4.47203683643936e-05 -0.000282314644382405 -9.79690113656574e-05 -0.000113375370313716 -0.000148425355582743 -0.00010268264097536
"23" 6.03417206317987e-05 -0.000132153868426428 -5.88076410617865e-05 8.35095770529982e-06 -0.000228355467486278 2.1601687705593e-05 -0.000257463300227629 -0.000133900990799979 0.00332265856526048 -0.000270217014047253 -4.35717215851708e-05 -0.00028425033676563 -0.000100336143739187 -0.000112256245958975 -0.000144771262682901 -9.95694702457898e-05
