"V1" "V2" "V4" "V5" "V7" "V8" "V10" "V11" "V13" "V14" "V15" "V17" "V18" "V20" "V21" "V23"
"1" -0.00031930170407062 0.000362895367913393 0.0015192576029669 -0.000389800596397342 -1.88876832573125e-05 -0.000218859874399813 6.1451389013686e-05 -2.52366403899138e-05 -0.00226958335754669 -0.000387139321477753 -0.00146301504072896 -0.000121472310984702 9.19917355354698e-05 0.000337739222991632 -0.000234399375793299 -0.00106974889232016
"2" -0.000316071391825069 0.000360341624955666 0.0015165218533594 -0.000393997120164155 -2.43279722811982e-05 -0.000227818778062511 4.93980006034609e-05 -2.95725655241761e-05 -0.00223153349146124 -0.000382041853277355 -0.00146095693953236 -0.000122695101662173 9.12854684909423e-05 0.000325901838800998 -0.000233027047933108 -0.00106295349588295
"3" -0.00031433906450054 0.000358053252596102 0.00151453292908326 -0.00039837927345572 -2.95912195779832e-05 -0.00023655190996985 3.72593376558562e-05 -3.37479132695726e-05 -0.00218900038326728 -0.00037700923193529 -0.00146021895129833 -0.000124174110555818 9.00715701692799e-05 0.000313888116627134 -0.000231921456653195 -0.00105691435541011
"4" -0.000314117295779253 0.000356008512546421 0.00151317788865556 -0.000402908780667884 -3.46392126809644e-05 -0.000245003230997372 2.50597952323375e-05 -3.78057238902516e-05 -0.00214244640819298 -0.000372056590201315 -0.00146073816991042 -0.000125904512078531 8.83428742023477e-05 0.000301766238131298 -0.000231070108611766 -0.00105161879415554
"5" -0.000315394350452619 0.000354196556099017 0.0015123297746932 -0.000407548476268089 -3.94289608631417e-05 -0.000253120159775524 1.2822997017213e-05 -4.17910620019887e-05 -0.00209234193300892 -0.000367198159150638 -0.00146242513647751 -0.000127875665637189 8.6089350762568e-05 0.000289595082145269 -0.000230469980297381 -0.0010470578711278
"6" -0.000318144878841976 0.00035260359881547 0.00151186861589974 -0.00041225564992308 -4.39272924833885e-05 -0.000260842469102532 5.76355536469234e-07 -4.57477767857121e-05 -0.00203918976346184 -0.000362446804592935 -0.00146521593668131 -0.000130066520045 8.32997810731914e-05 0.00027744816180796 -0.000230107089924735 -0.00104321958056179
"7" -0.000322301166980906 0.000351205106954672 0.00151164385221803 -0.000416988052271974 -4.80933268706967e-05 -0.000268114275929914 -1.16536743178612e-05 -4.97172519914941e-05 -0.00198351273340515 -0.000357801030128938 -0.00146900603765909 -0.000132467338794226 7.99623443619742e-05 0.000265375038781374 -0.00022996797425798 -0.00104006073250346
"8" -0.000327770329753285 0.00034997998858216 0.00151150621136786 -0.000421698787570366 -5.18936284100548e-05 -0.000274873363822743 -2.38454471086829e-05 -5.37429811119871e-05 -0.00192585120055194 -0.000353259684444496 -0.00147371139226252 -0.000135060453518847 7.60592263064201e-05 0.000253422515891809 -0.000230040337400047 -0.00103753375355121
"9" -0.000334450039156158 0.000348918784978719 0.00151132800496099 -0.00042634052995855 -5.52971533931016e-05 -0.000281065026876027 -3.59709085453219e-05 -5.78618911623545e-05 -0.00186673577673382 -0.00034882800894011 -0.00147923409132588 -0.000137824105812764 7.15818005077082e-05 0.000241647486658199 -0.000230297557936878 -0.00103560506809236
"10" -0.000342182865667332 0.000347992948190062 0.00151092671155517 -0.000430856100515706 -5.8268515669381e-05 -0.000286617413870415 -4.80057691719186e-05 -6.2103163469459e-05 -0.00180673818109513 -0.000344487337003714 -0.00148548008944362 -0.000140739053856144 6.64957964338223e-05 0.000230074509736114 -0.000230732560759121 -0.00103419781877965
"11" -0.00035081004240089 0.000347185156039897 0.00151015962681377 -0.000435198097765104 -6.07805335935904e-05 -0.000291475033811222 -5.99223605490308e-05 -6.6501445917384e-05 -0.00174640437866621 -0.000340230319717829 -0.00149234173848352 -0.000143780034278152 6.07903936618e-05 0.000218744143748872 -0.000231306882224331 -0.00103324535969703
"12" -0.000360143895740084 0.000346481340213742 0.00150887965366685 -0.000439314128095746 -6.28039819840425e-05 -0.000295575321669243 -7.16991554421045e-05 -7.10719060160924e-05 -0.00168627767450597 -0.000336038356595537 -0.0014997348880295 -0.00014691717914784 5.44375440769602e-05 0.00020768566045006 -0.000232004664152826 -0.00103268666030478
