V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0.7321787883002489,0,0,0.6811124884798249,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6997921392192121,0,0,0.7143465278749512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7162276482496864,0,0,0,0.6978667178499942
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,1,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,0.7230525767429911,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,0.6907930017489471,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17,5.934925188904553e-17
1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,1,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,8.551263542641805e-17,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,0.7189697400983144,1.3852517676347692e-18,1.3852517676347692e-18,0.6950413749000575,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,1.2937681059400718e-16,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18,1.3852517676347692e-18
